timestamp;temperatura;umidade;pressao;qualidade;luminosidade
2024-03-02T16:26:54-04:00;29,14;80,81;1004,01;39,17;100
2024-03-02T16:27:24-04:00;29,09;80,96;1004;39,07;100
2024-03-02T16:27:54-04:00;29,09;80,86;1004;39,28;100
2024-03-02T16:28:24-04:00;29,08;80,83;1003,99;39,07;100
2024-03-02T16:28:54-04:00;29,11;80,79;1003,98;39,03;100
2024-03-02T16:29:24-04:00;29,12;80,52;1003,97;38,96;100
2024-03-02T16:29:54-04:00;29,14;80,53;1003,97;39;100
2024-03-02T16:30:24-04:00;29,15;80,45;1003,97;39,17;100
2024-03-02T16:30:54-04:00;29,18;80,43;1003,96;39;100
2024-03-02T16:31:24-04:00;29,24;80,29;1003,96;38,79;100
2024-03-02T16:31:54-04:00;29,35;79,76;1003,95;38,22;100
2024-03-02T16:32:24-04:00;29,5;79,07;1003,96;37,96;100
2024-03-02T16:32:54-04:00;29,65;78,85;1003,96;37,74;100
2024-03-02T16:33:24-04:00;29,77;78,43;1003,97;37,32;100
2024-03-02T16:33:54-04:00;29,84;78,18;1003,96;37,42;100
2024-03-02T16:34:24-04:00;29,88;78,22;1003,95;37,45;100
2024-03-02T16:34:54-04:00;29,92;78,09;1003,95;37,23;100
2024-03-02T16:35:24-04:00;29,99;77,97;1003,95;37,26;100
2024-03-02T16:35:54-04:00;30,04;77,73;1003,95;37,16;100
2024-03-02T16:36:24-04:00;30,12;77,42;1003,96;36,92;100
2024-03-02T16:36:54-04:00;30,22;77;1003,96;36,86;100
2024-03-02T16:37:24-04:00;30,33;76,55;1003,97;36,7;100
2024-03-02T16:37:54-04:00;30,42;76;1003,97;36,46;100
2024-03-02T16:38:24-04:00;30,49;76,28;1003,97;36,4;100
2024-03-02T16:38:54-04:00;30,52;76,25;1003,98;36,43;100
2024-03-02T16:39:24-04:00;30,52;75,9;1004;36,55;100
2024-03-02T16:39:54-04:00;30,48;76,21;1004,01;36,61;100
2024-03-02T16:40:24-04:00;30,43;76,47;1004,02;36,67;100
2024-03-02T16:40:54-04:00;30,38;76,72;1004,03;36,79;100
2024-03-02T16:41:24-04:00;30,32;76,8;1004,04;36,89;100
2024-03-02T16:41:54-04:00;30,25;76,68;1004,05;37,1;100
2024-03-02T16:42:24-04:00;30,16;76,86;1004,07;37,13;100
2024-03-02T16:42:54-04:00;30,1;77,06;1004,09;37,2;100
2024-03-02T16:43:24-04:00;30,08;77,22;1004,11;37,29;100
2024-03-02T16:43:54-04:00;30,07;77,46;1004,13;37,1;100
2024-03-02T16:44:24-04:00;30,05;77,81;1004,15;37,2;100
2024-03-02T16:44:54-04:00;30,01;78,3;1004,17;36,95;100
2024-03-02T16:45:24-04:00;29,97;78,64;1004,19;37,13;100
2024-03-02T16:45:54-04:00;29,95;78,64;1004,19;37,2;100
2024-03-02T16:46:24-04:00;29,98;78,28;1004,21;37,07;100
2024-03-02T16:46:54-04:00;30,03;77,91;1004,22;37,1;100
2024-03-02T16:47:24-04:00;30,09;77;1004,22;36,89;100
2024-03-02T16:47:54-04:00;30,19;77,12;1004,24;36,7;100
2024-03-02T16:48:24-04:00;30,29;76,91;1004,26;36,49;100
2024-03-02T16:48:54-04:00;30,38;76,84;1004,28;36,31;100
2024-03-02T16:49:24-04:00;30,43;76,74;1004,29;36,37;100
2024-03-02T16:49:54-04:00;30,45;76,6;1004,3;36,28;100
2024-03-02T16:50:24-04:00;30,49;76,09;1004,32;36,25;100
2024-03-02T16:50:54-04:00;30,55;75,61;1004,34;36,34;100
2024-03-02T16:51:24-04:00;30,64;75,21;1004,35;36,1;100
2024-03-02T16:51:54-04:00;30,74;75;1004,36;36,1;100
2024-03-02T16:52:24-04:00;30,85;74,23;1004,37;35,87;100
2024-03-02T16:52:54-04:00;30,97;73,74;1004,38;35,72;100
2024-03-02T16:53:24-04:00;31,07;73,33;1004,39;35,58;100
2024-03-02T16:53:54-04:00;31,16;73,37;1004,4;35,3;100
2024-03-02T16:54:24-04:00;31,24;73,76;1004,42;35,19;100
2024-03-02T16:54:54-04:00;31,31;73,71;1004,43;35,02;100
2024-03-02T16:55:24-04:00;31,37;73,69;1004,43;34,99;100
2024-03-02T16:55:54-04:00;31,42;73,64;1004,45;34,96;100
2024-03-02T16:56:24-04:00;31,46;73,62;1004,45;34,96;100
2024-03-02T16:56:54-04:00;31,5;73,18;1004,46;34,94;100
2024-03-02T16:57:24-04:00;31,46;73,9;1004,46;34,99;100
2024-03-02T16:57:54-04:00;31,42;74,09;1004,47;35,16;100
2024-03-02T16:58:24-04:00;31,32;74,63;1004,47;35,33;100
2024-03-02T16:58:54-04:00;31,2;75,31;1004,48;35,5;100
2024-03-02T16:59:24-04:00;31,07;75,62;1004,49;35,55;100
2024-03-02T16:59:54-04:00;30,97;75,83;1004,49;35,87;100
2024-03-02T17:00:24-04:00;30,87;76,15;1004,49;36,1;100
2024-03-02T17:00:54-04:00;30,76;76,6;1004,48;36,02;100
2024-03-02T17:01:24-04:00;30,62;77,49;1004,49;36,19;100
2024-03-02T17:01:54-04:00;30,45;78,1;1004,5;36,49;100
2024-03-02T17:02:24-04:00;30,24;78,97;1004,51;36,58;100
2024-03-02T17:02:54-04:00;30,04;79,86;1004,52;36,95;100
2024-03-02T17:03:24-04:00;29,86;80,22;1004,52;37,29;100
2024-03-02T17:03:54-04:00;29,68;80,77;1004,51;37,54;100
2024-03-02T17:04:24-04:00;29,56;81,12;1004,51;37,77;100
2024-03-02T17:04:54-04:00;29,48;81,11;1004,5;37,77;100
2024-03-02T17:05:24-04:00;29,39;81,35;1004,5;37,9;100
2024-03-02T17:05:54-04:00;29,33;81,32;1004,49;37,9;100
2024-03-02T17:06:24-04:00;29,28;81,38;1004,48;38,09;100
2024-03-02T17:06:54-04:00;29,27;81,31;1004,48;37,99;100
2024-03-02T17:07:24-04:00;29,24;81,34;1004,47;38,09;100
2024-03-02T17:07:54-04:00;29,23;81,35;1004,46;38,22;100
2024-03-02T17:08:24-04:00;29,24;81,26;1004,46;37,86;100
2024-03-02T17:08:54-04:00;29,25;81;1004,45;37,9;100
2024-03-02T17:09:24-04:00;29,26;81,11;1004,44;37,86;100
2024-03-02T17:09:54-04:00;29,23;81,14;1004,44;38,12;100
2024-03-02T17:10:24-04:00;29,2;81,33;1004,45;38,06;100
2024-03-02T17:10:54-04:00;29,16;81;1004,44;38,22;100
2024-03-02T17:11:24-04:00;29,11;82;1004,43;38,39;100
2024-03-02T17:11:54-04:00;29,06;81,71;1004,44;38,52;100
2024-03-02T17:12:24-04:00;29;81,79;1004,43;38,42;100
2024-03-02T17:12:54-04:00;28,94;81,95;1004,42;38,52;100
2024-03-02T17:13:24-04:00;28,88;82,09;1004,41;38,86;100
2024-03-02T17:13:54-04:00;28,82;82;1004,41;38,79;100
2024-03-02T17:14:24-04:00;28,78;82;1004,41;38,52;100
